County,State,Population,HousingUnits,TotalArea,WaterArea,LandArea,DensityPop,DensityHousing
McCreary County,Kentucky,17080.00,7405.00,430.64,2.94,427.70,39.90,17.30
McLean County,Kentucky,9938.00,4392.00,256.17,1.88,254.30,39.10,17.30
Madison County,Kentucky,70872.00,29595.00,443.11,2.42,440.68,160.80,67.20
Magoffin County,Kentucky,13332.00,5447.00,309.44,0.01,309.44,43.10,17.60
Marion County,Kentucky,18212.00,7277.00,346.86,0.47,346.39,52.60,21.00
Marshall County,Kentucky,30125.00,14730.00,340.32,35.43,304.89,98.80,48.30
Martin County,Kentucky,12578.00,5551.00,230.81,0.11,230.70,54.50,24.10
Mason County,Kentucky,16800.00,7754.00,246.60,5.49,241.11,69.70,32.20
Meade County,Kentucky,26349.00,10293.00,324.22,15.71,308.51,85.40,33.40
Menifee County,Kentucky,6556.00,3710.00,206.03,2.13,203.90,32.20,18.20
Mercer County,Kentucky,20817.00,9289.00,253.11,2.20,250.92,83.00,37.00
Metcalfe County,Kentucky,10037.00,4592.00,290.96,0.07,290.90,34.50,15.80
Monroe County,Kentucky,11756.00,5288.00,332.11,1.30,330.81,35.50,16.00
Montgomery County,Kentucky,22554.00,9682.00,198.80,0.21,198.59,113.60,48.80
Morgan County,Kentucky,13948.00,5487.00,383.73,2.47,381.26,36.60,14.40
Muhlenberg County,Kentucky,31839.00,13675.00,479.43,4.71,474.72,67.10,28.80
Nelson County,Kentucky,37477.00,14934.00,424.07,1.45,422.63,88.70,35.30
Nicholas County,Kentucky,6813.00,3051.00,196.85,0.24,196.61,34.70,15.50
Ohio County,Kentucky,22916.00,9909.00,596.73,2.94,593.79,38.60,16.70
Oldham County,Kentucky,46178.00,15541.00,196.54,7.36,189.19,244.10,82.10
Owen County,Kentucky,10547.00,5345.00,354.16,2.02,352.14,30.00,15.20
Owsley County,Kentucky,4858.00,2247.00,198.09,0.00,198.09,24.50,11.30
Pendleton County,Kentucky,14390.00,5756.00,281.87,1.33,280.54,51.30,20.50
Perry County,Kentucky,29390.00,12741.00,342.64,0.49,342.15,85.90,37.20
Pike County,Kentucky,68736.00,30923.00,788.84,1.15,787.69,87.30,39.30
Powell County,Kentucky,13237.00,5526.00,180.20,0.07,180.14,73.50,30.70
Pulaski County,Kentucky,56217.00,27181.00,677.05,15.45,661.60,85.00,41.10
Robertson County,Kentucky,2266.00,1034.00,100.11,0.04,100.07,22.60,10.30
Rockcastle County,Kentucky,16582.00,7353.00,318.06,0.54,317.53,52.20,23.20
Rowan County,Kentucky,22094.00,8985.00,286.25,5.43,280.82,78.70,32.00
Russell County,Kentucky,16315.00,9064.00,282.82,29.29,253.53,64.40,35.80
Scott County,Kentucky,33061.00,12977.00,285.30,0.57,284.72,116.10,45.60
Shelby County,Kentucky,33337.00,12857.00,385.65,1.46,384.19,86.80,33.50
Simpson County,Kentucky,16405.00,7016.00,236.19,0.00,236.19,69.50,29.70
Spencer County,Kentucky,11766.00,4555.00,191.80,5.89,185.90,63.30,24.50
Taylor County,Kentucky,22927.00,10180.00,277.05,7.22,269.83,85.00,37.70
Todd County,Kentucky,11971.00,5121.00,376.97,0.62,376.35,31.80,13.60
Trigg County,Kentucky,12597.00,6698.00,481.13,38.01,443.12,28.40,15.10
Trimble County,Kentucky,8125.00,3437.00,156.23,7.38,148.85,54.60,23.10
Union County,Kentucky,15637.00,6234.00,363.43,18.33,345.10,45.30,18.10
Warren County,Kentucky,92522.00,38350.00,547.69,2.48,545.21,169.70,70.30
Washington County,Kentucky,10916.00,4542.00,301.52,0.93,300.59,36.30,15.10
Wayne County,Kentucky,19923.00,9789.00,484.20,24.80,459.40,43.40,21.30
Webster County,Kentucky,14120.00,6250.00,335.68,0.93,334.75,42.20,18.70
Whitley County,Kentucky,35865.00,15288.00,445.15,4.99,440.15,81.50,34.70
Wolfe County,Kentucky,7065.00,3264.00,222.86,0.08,222.78,31.70,14.70
Woodford County,Kentucky,23208.00,9374.00,191.98,1.30,190.68,121.70,49.20
Acadia Parish,Louisiana,58861.00,23209.00,657.62,2.33,655.28,89.80,35.40
Allen Parish,Louisiana,25440.00,9157.00,765.67,1.17,764.50,33.30,12.00
Ascension Parish,Louisiana,76627.00,29172.00,302.88,11.35,291.53,262.80,100.10
Assumption Parish,Louisiana,23388.00,9635.00,364.55,25.87,338.68,69.10,28.40
Avoyelles Parish,Louisiana,41481.00,16576.00,865.67,33.24,832.44,49.80,19.90
Beauregard Parish,Louisiana,32986.00,14501.00,1165.99,5.90,1160.09,28.40,12.50
Bienville Parish,Louisiana,15752.00,7830.00,821.77,11.13,810.64,19.40,9.70
Bossier Parish,Louisiana,98310.00,40286.00,866.93,27.68,839.25,117.10,48.00
Caddo Parish,Louisiana,252161.00,108296.00,936.90,54.91,881.99,285.90,122.80
Calcasieu Parish,Louisiana,183577.00,75995.00,1094.34,23.22,1071.12,171.40,70.90
Caldwell Parish,Louisiana,10560.00,5035.00,540.72,11.30,529.42,19.90,9.50
Cameron Parish,Louisiana,9991.00,5336.00,1931.60,618.63,1312.96,7.60,4.10
Catahoula Parish,Louisiana,10920.00,5351.00,739.43,35.78,703.65,15.50,7.60
Claiborne Parish,Louisiana,16851.00,7815.00,767.55,12.90,754.65,22.30,10.40
Concordia Parish,Louisiana,20247.00,9148.00,748.68,52.77,695.91,29.10,13.10
De Soto Parish,Louisiana,25494.00,11204.00,894.49,17.29,877.20,29.10,12.80
East Baton Rouge Parish,Louisiana,412852.00,169073.00,470.54,15.11,455.43,906.50,371.20
East Carroll Parish,Louisiana,9421.00,3303.00,442.45,21.01,421.44,22.40,7.80
East Feliciana Parish,Louisiana,21360.00,7915.00,455.69,2.29,453.40,47.10,17.50
Evangeline Parish,Louisiana,35434.00,14258.00,679.61,15.34,664.27,53.30,21.50
Franklin Parish,Louisiana,21263.00,8623.00,635.43,11.82,623.61,34.10,13.80
Grant Parish,Louisiana,18698.00,8531.00,664.56,19.45,645.11,29.00,13.20
Iberia Parish,Louisiana,73266.00,27844.00,1030.86,455.73,575.13,127.40,48.40
Iberville Parish,Louisiana,33320.00,11953.00,652.84,34.20,618.64,53.90,19.30
Jackson Parish,Louisiana,15397.00,7338.00,580.34,10.59,569.75,27.00,12.90
Jefferson Parish,Louisiana,455466.00,187907.00,642.41,335.89,306.52,1485.90,613.00
Jefferson Davis Parish,Louisiana,31435.00,12824.00,658.58,6.26,652.31,48.20,19.70
Lafayette Parish,Louisiana,190503.00,78122.00,270.29,0.46,269.83,706.00,289.50
Lafourche Parish,Louisiana,89974.00,35045.00,1472.19,387.51,1084.68,82.90,32.30
La Salle Parish,Louisiana,14282.00,6273.00,662.36,38.54,623.83,22.90,10.10
Lincoln Parish,Louisiana,42509.00,17000.00,472.27,0.89,471.38,90.20,36.10
Livingston Parish,Louisiana,91814.00,36212.00,702.84,54.82,648.02,141.70,55.90
Madison Parish,Louisiana,13728.00,4979.00,650.53,26.45,624.09,22.00,8.00
Morehouse Parish,Louisiana,31021.00,12711.00,805.20,10.95,794.25,39.10,16.00
Natchitoches Parish,Louisiana,39080.00,16890.00,1299.30,43.85,1255.45,31.10,13.50
Orleans Parish,Louisiana,484674.00,215091.00,350.21,169.66,180.56,2684.30,1191.30
Ouachita Parish,Louisiana,147250.00,60154.00,632.70,22.17,610.53,241.20,98.50
Plaquemines Parish,Louisiana,26757.00,10481.00,2428.54,1583.98,844.56,31.70,12.40
Pointe Coupee Parish,Louisiana,22763.00,10297.00,590.68,33.34,557.34,40.80,18.50
Rapides Parish,Louisiana,126337.00,52038.00,1361.96,39.42,1322.54,95.50,39.30
Red River Parish,Louisiana,9622.00,3988.00,402.08,12.79,389.29,24.70,10.20
Richland Parish,Louisiana,20981.00,8335.00,564.51,6.05,558.45,37.60,14.90
Sabine Parish,Louisiana,23459.00,13671.00,1011.51,146.25,865.27,27.10,15.80
St. Bernard Parish,Louisiana,67229.00,26790.00,1793.75,1328.71,465.04,144.60,57.60
St. Charles Parish,Louisiana,48072.00,17430.00,410.16,126.52,283.64,169.50,61.50
St. Helena Parish,Louisiana,10525.00,5034.00,409.46,1.09,408.36,25.80,12.30
St. James Parish,Louisiana,21216.00,7605.00,257.79,11.66,246.13,86.20,30.90
St. John the Baptist Parish,Louisiana,43044.00,15532.00,347.84,128.94,218.90,196.60,71.00
St. Landry Parish,Louisiana,87700.00,36216.00,938.83,10.18,928.65,94.40,39.00
St. Martin Parish,Louisiana,48583.00,20245.00,816.46,76.60,739.85,65.70,27.40
St. Mary Parish,Louisiana,53500.00,21650.00,1118.83,506.04,612.79,87.30,35.30
St. Tammany Parish,Louisiana,191268.00,75398.00,1124.08,269.93,854.15,223.90,88.30
Tangipahoa Parish,Louisiana,100588.00,40794.00,823.12,32.88,790.24,127.30,51.60
Tensas Parish,Louisiana,6618.00,3359.00,641.20,38.72,602.48,11.00,5.60
Terrebonne Parish,Louisiana,104503.00,39928.00,2079.90,824.97,1254.93,83.30,31.80
Union Parish,Louisiana,22803.00,10873.00,905.28,27.68,877.60,26.00,12.40
Vermilion Parish,Louisiana,53807.00,22461.00,1538.31,364.53,1173.78,45.80,19.10
Vernon Parish,Louisiana,52531.00,21030.00,1341.51,13.10,1328.41,39.50,15.80
Washington Parish,Louisiana,43926.00,19106.00,675.97,6.40,669.57,65.60,28.50
Webster Parish,Louisiana,41831.00,18991.00,615.07,19.85,595.22,70.30,31.90
West Baton Rouge Parish,Louisiana,21601.00,8370.00,203.62,12.42,191.20,113.00,43.80
West Carroll Parish,Louisiana,12314.00,4980.00,360.32,0.92,359.40,34.30,13.90
West Feliciana Parish,Louisiana,15111.00,4485.00,426.01,20.01,406.00,37.20,11.00
Winn Parish,Louisiana,16894.00,7502.00,956.91,6.43,950.49,17.80,7.90
Androscoggin County,Maine,103793.00,45960.00,497.23,26.95,470.27,220.70,97.70
Aroostook County,Maine,73938.00,38719.00,6828.79,157.25,6671.54,11.10,5.80
Cumberland County,Maine,265612.00,122600.00,1216.89,381.38,835.51,317.90,146.70
Franklin County,Maine,29467.00,19159.00,1744.31,46.50,1697.81,17.40,11.30
Hancock County,Maine,51791.00,33945.00,2351.03,763.33,1587.70,32.60,21.40
Kennebec County,Maine,117114.00,56364.00,951.18,83.60,867.58,135.00,65.00
Knox County,Maine,39618.00,21612.00,1142.10,776.43,365.67,108.30,59.10
Lincoln County,Maine,33616.00,20849.00,699.81,243.82,455.99,73.70,45.70
Oxford County,Maine,54755.00,32295.00,2175.26,97.26,2078.00,26.30,15.50
Penobscot County,Maine,144919.00,66847.00,3556.14,160.41,3395.73,42.70,19.70
Piscataquis County,Maine,17235.00,13783.00,4377.36,411.14,3966.22,4.30,3.50
Sagadahoc County,Maine,35214.00,16489.00,370.19,116.29,253.90,138.70,64.90
Somerset County,Maine,50888.00,28222.00,4095.37,168.87,3926.50,13.00,7.20
Waldo County,Maine,36280.00,18904.00,852.74,123.01,729.73,49.70,25.90
Washington County,Maine,33941.00,21919.00,3254.91,686.44,2568.48,13.20,8.50
York County,Maine,186742.00,94234.00,1271.34,280.43,990.92,188.50,95.10
Allegany County,Maryland,74930.00,32984.00,429.82,4.40,425.42,176.10,77.50
Anne Arundel County,Maryland,489656.00,186937.00,587.90,171.96,415.94,1177.20,449.40
Baltimore County,Maryland,754292.00,313734.00,682.03,83.44,598.59,1260.10,524.10
Calvert County,Maryland,74563.00,27576.00,345.09,129.91,215.17,346.50,128.20
Caroline County,Maryland,29772.00,12028.00,326.06,5.92,320.14,93.00,37.60
Carroll County,Maryland,150897.00,54260.00,452.40,3.27,449.13,336.00,120.80
Cecil County,Maryland,85951.00,34461.00,417.88,69.75,348.13,246.90,99.00
Charles County,Maryland,120546.00,43903.00,643.22,182.22,461.00,261.50,95.20
Dorchester County,Maryland,30674.00,14681.00,982.92,425.38,557.54,55.00,26.30
Frederick County,Maryland,195277.00,73017.00,667.34,4.46,662.88,294.60,110.20
Garrett County,Maryland,29846.00,16761.00,655.90,7.94,647.96,46.10,25.90
Harford County,Maryland,218590.00,83146.00,526.72,86.37,440.35,496.40,188.80
Howard County,Maryland,247842.00,92818.00,253.55,1.51,252.04,983.30,368.30
Kent County,Maryland,19197.00,9410.00,414.31,134.87,279.43,68.70,33.70
Montgomery County,Maryland,873341.00,334632.00,507.14,11.63,495.52,1762.50,675.30
Prince George's County,Maryland,801515.00,302378.00,498.45,13.01,485.43,1651.10,622.90
Queen Anne's County,Maryland,40563.00,16674.00,509.79,137.58,372.21,109.00,44.80
St. Mary's County,Maryland,86211.00,34081.00,764.50,403.25,361.25,238.60,94.30
Somerset County,Maryland,24747.00,10092.00,610.78,283.56,327.21,75.60,30.80
Talbot County,Maryland,33812.00,16500.00,476.77,207.64,269.14,125.60,61.30
Washington County,Maryland,131923.00,52972.00,467.55,9.41,458.14,288.00,115.60
Wicomico County,Maryland,84644.00,34401.00,399.79,22.62,377.17,224.40,91.20
Worcester County,Maryland,46543.00,47360.00,694.73,221.49,473.24,98.40,100.10
Baltimore city,Maryland,651154.00,300477.00,92.08,11.27,80.80,8058.40,3718.60
Barnstable County,Massachusetts,222230.00,147083.00,1305.62,910.10,395.51,561.90,371.90
Berkshire County,Massachusetts,134953.00,66301.00,946.27,14.95,931.32,144.90,71.20
Bristol County,Massachusetts,534678.00,216918.00,691.19,135.19,556.00,961.70,390.10
Dukes County,Massachusetts,14987.00,14836.00,490.95,387.18,103.78,144.40,143.00
Essex County,Massachusetts,723419.00,287144.00,828.53,327.86,500.67,1444.90,573.50
Franklin County,Massachusetts,71535.00,31939.00,724.74,22.71,702.03,101.90,45.50
Hampden County,Massachusetts,456228.00,185876.00,634.12,15.71,618.40,737.80,300.60
Hampshire County,Massachusetts,152251.00,58644.00,545.44,16.41,529.03,287.80,110.90
Middlesex County,Massachusetts,1465396.00,576681.00,847.54,24.08,823.46,1779.60,700.30
Nantucket County,Massachusetts,9520.00,9210.00,303.64,255.83,47.81,199.10,192.60
Norfolk County,Massachusetts,650308.00,255154.00,443.94,44.35,399.58,1627.50,638.60
Plymouth County,Massachusetts,472822.00,181524.00,1093.39,432.54,660.85,715.50,274.70
Suffolk County,Massachusetts,689807.00,292520.00,120.19,61.68,58.52,11788.40,4999.00
Worcester County,Massachusetts,750963.00,298159.00,1579.02,65.95,1513.06,496.30,197.10
Alcona County,Michigan,11719.00,10584.00,1790.54,1116.10,674.43,17.40,15.70
Alger County,Michigan,9862.00,5964.00,5049.08,4131.25,917.83,10.70,6.50
Allegan County,Michigan,105665.00,43292.00,1833.30,1005.83,827.46,127.70,52.30
Alpena County,Michigan,31314.00,15289.00,1695.00,1120.85,574.15,54.50,26.60
Antrim County,Michigan,23110.00,15090.00,601.90,124.97,476.94,48.50,31.60
Arenac County,Michigan,17269.00,9563.00,680.81,313.97,366.84,47.10,26.10
Baraga County,Michigan,8746.00,4631.00,1068.85,164.85,904.00,9.70,5.10
Barry County,Michigan,56755.00,23876.00,576.90,20.77,556.14,102.10,42.90
Bay County,Michigan,110157.00,46423.00,630.91,186.66,444.25,248.00,104.50
Benzie County,Michigan,15998.00,10312.00,859.64,538.32,321.31,49.80,32.10
Berrien County,Michigan,162453.00,73445.00,1581.38,1010.39,571.00,284.50,128.60
Branch County,Michigan,45787.00,19822.00,519.49,12.08,507.41,90.20,39.10
Calhoun County,Michigan,137985.00,58691.00,718.44,9.72,708.72,194.70,82.80
Cass County,Michigan,51104.00,23884.00,508.46,16.29,492.18,103.80,48.50
Charlevoix County,Michigan,26090.00,15370.00,1390.76,973.92,416.84,62.60,36.90
Cheboygan County,Michigan,26448.00,16583.00,885.23,169.63,715.60,37.00,23.20
Chippewa County,Michigan,38543.00,19430.00,2697.98,1136.92,1561.06,24.70,12.40
Clare County,Michigan,31252.00,22229.00,575.22,8.42,566.80,55.10,39.20
Clinton County,Michigan,64753.00,24630.00,574.57,3.12,571.46,113.30,43.10
Crawford County,Michigan,14273.00,10042.00,563.37,5.25,558.12,25.60,18.00
Delta County,Michigan,38520.00,19223.00,1991.58,821.56,1170.03,32.90,16.40
Dickinson County,Michigan,27472.00,13702.00,777.12,10.78,766.34,35.80,17.90
Eaton County,Michigan,103655.00,42118.00,579.02,2.61,576.41,179.80,73.10
Emmet County,Michigan,31437.00,18554.00,882.26,414.44,467.82,67.20,39.70
Genesee County,Michigan,436141.00,183630.00,649.34,9.70,639.64,681.90,287.10
Gladwin County,Michigan,26023.00,16828.00,516.43,9.63,506.80,51.30,33.20
Gogebic County,Michigan,17370.00,10839.00,1476.43,374.57,1101.86,15.80,9.80
Grand Traverse County,Michigan,77654.00,34842.00,601.13,136.06,465.07,167.00,74.90
Gratiot County,Michigan,42285.00,15516.00,571.61,1.48,570.13,74.20,27.20
Hillsdale County,Michigan,46527.00,20189.00,607.14,8.30,598.84,77.70,33.70
Houghton County,Michigan,36016.00,17748.00,1501.56,489.84,1011.72,35.60,17.50
Huron County,Michigan,36079.00,20430.00,2136.47,1299.95,836.52,43.10,24.40
Ingham County,Michigan,279320.00,115056.00,560.94,1.75,559.19,499.50,205.80
Ionia County,Michigan,61518.00,22006.00,580.23,7.02,573.21,107.30,38.40
Iosco County,Michigan,27339.00,20432.00,1890.77,1341.66,549.11,49.80,37.20
Iron County,Michigan,13138.00,8772.00,1211.02,44.67,1166.36,11.30,7.50
Isabella County,Michigan,63351.00,24528.00,577.75,3.48,574.27,110.30,42.70
Jackson County,Michigan,158422.00,62906.00,723.76,17.17,706.60,224.20,89.00
Kalamazoo County,Michigan,238603.00,99250.00,580.18,18.32,561.86,424.70,176.60
Kalkaska County,Michigan,16571.00,10822.00,570.76,9.75,561.02,29.50,19.30
Kent County,Michigan,574335.00,224000.00,872.18,16.01,856.17,670.80,261.60
Keweenaw County,Michigan,2301.00,2327.00,5965.96,5424.98,540.97,4.30,4.30
Lake County,Michigan,11333.00,13498.00,574.60,7.17,567.44,20.00,23.80
Lapeer County,Michigan,87904.00,32732.00,663.08,8.88,654.20,134.40,50.00
Leelanau County,Michigan,21119.00,13297.00,2532.38,2183.91,348.47,60.60,38.20
Lenawee County,Michigan,98890.00,39769.00,761.31,10.81,750.50,131.80,53.00
Livingston County,Michigan,156951.00,58919.00,585.43,17.03,568.40,276.10,103.70
Luce County,Michigan,7024.00,4008.00,1911.89,1008.80,903.08,7.80,4.40
Mackinac County,Michigan,11943.00,9413.00,2100.55,1078.96,1021.58,11.70,9.20
Macomb County,Michigan,788149.00,320276.00,569.78,89.34,480.44,1640.50,666.60
Manistee County,Michigan,24527.00,14272.00,1280.77,737.16,543.61,45.10,26.30
Marquette County,Michigan,64634.00,32877.00,3425.17,1604.12,1821.05,35.50,18.10
Mason County,Michigan,28274.00,16063.00,1241.86,746.70,495.17,57.10,32.40
Mecosta County,Michigan,40553.00,19593.00,571.10,15.41,555.69,73.00,35.30
Menominee County,Michigan,25326.00,13639.00,1337.99,294.47,1043.52,24.30,13.10
Midland County,Michigan,82874.00,33796.00,527.89,6.70,521.19,159.00,64.80
Missaukee County,Michigan,14478.00,8621.00,573.82,7.08,566.75,25.50,15.20
Monroe County,Michigan,145945.00,56471.00,680.03,128.93,551.10,264.80,102.50
Montcalm County,Michigan,61266.00,25900.00,720.98,12.94,708.04,86.50,36.60
Montmorency County,Michigan,10315.00,9238.00,562.44,14.81,547.63,18.80,16.90
Muskegon County,Michigan,170200.00,68556.00,1459.30,950.18,509.12,334.30,134.70
Newaygo County,Michigan,47874.00,23202.00,861.39,19.03,842.37,56.80,27.50
Oakland County,Michigan,1194156.00,492006.00,908.00,35.49,872.51,1368.60,563.90
Oceana County,Michigan,26873.00,15009.00,1306.73,766.27,540.46,49.70,27.80
Ogemaw County,Michigan,21645.00,15404.00,574.63,10.33,564.30,38.40,27.30
Ontonagon County,Michigan,7818.00,5404.00,3741.45,2429.92,1311.53,6.00,4.10
Osceola County,Michigan,23197.00,12853.00,573.10,7.12,565.98,41.00,22.70
Oscoda County,Michigan,9418.00,8690.00,571.57,6.57,565.00,16.70,15.40
Otsego County,Michigan,23301.00,13375.00,525.98,11.44,514.54,45.30,26.00
Ottawa County,Michigan,238314.00,86856.00,1631.97,1066.32,565.65,421.30,153.50
Presque Isle County,Michigan,14411.00,9910.00,2572.75,1912.68,660.07,21.80,15.00
Roscommon County,Michigan,25469.00,23109.00,579.84,58.44,521.40,48.80,44.30
Saginaw County,Michigan,210039.00,85505.00,815.78,6.85,808.93,259.60,105.70
St. Clair County,Michigan,164235.00,67107.00,836.63,112.26,724.37,226.70,92.60
St. Joseph County,Michigan,62422.00,26503.00,521.15,17.43,503.72,123.90,52.60
Sanilac County,Michigan,44547.00,21314.00,1590.22,626.42,963.80,46.20,22.10
Schoolcraft County,Michigan,8903.00,5700.00,1883.69,705.58,1178.11,7.60,4.80
Shiawassee County,Michigan,71687.00,29087.00,540.73,2.00,538.73,133.10,54.00
Tuscola County,Michigan,58266.00,23378.00,913.82,101.39,812.43,71.70,28.80
Van Buren County,Michigan,76263.00,33975.00,1090.19,479.33,610.86,124.80,55.60
Washtenaw County,Michigan,322895.00,131069.00,722.53,12.59,709.94,454.80,184.60
Wayne County,Michigan,2061162.00,826145.00,672.20,58.05,614.15,3356.10,1345.20
Wexford County,Michigan,30484.00,14872.00,575.84,10.35,565.49,53.90,26.30
Aitkin County,Minnesota,15301.00,14168.00,1995.31,176.01,1819.30,8.40,7.80
Anoka County,Minnesota,298084.00,108091.00,446.26,22.65,423.61,703.70,255.20
Becker County,Minnesota,30000.00,16612.00,1445.11,134.69,1310.42,22.90,12.70
Beltrami County,Minnesota,39650.00,16989.00,3055.59,550.32,2505.27,15.80,6.80
Benton County,Minnesota,34226.00,13460.00,413.00,4.72,408.28,83.80,33.00
Big Stone County,Minnesota,5820.00,3171.00,527.88,30.93,496.95,11.70,6.40
Blue Earth County,Minnesota,55941.00,21971.00,765.90,13.54,752.36,74.40,29.20
Brown County,Minnesota,26911.00,11163.00,618.60,7.74,610.86,44.10,18.30
Carlton County,Minnesota,31671.00,13721.00,875.23,14.90,860.33,36.80,15.90
Carver County,Minnesota,70205.00,24883.00,376.15,19.11,357.04,196.60,69.70
Cass County,Minnesota,27150.00,21286.00,2414.21,396.61,2017.60,13.50,10.60
Chippewa County,Minnesota,13088.00,5855.00,587.83,5.02,582.80,22.50,10.00
Chisago County,Minnesota,41101.00,15533.00,442.49,24.86,417.63,98.40,37.20
Clay County,Minnesota,51229.00,19746.00,1052.74,7.49,1045.24,49.00,18.90
Clearwater County,Minnesota,8423.00,4114.00,1029.79,35.08,994.71,8.50,4.10
Cook County,Minnesota,5168.00,4708.00,3339.72,1889.11,1450.60,3.60,3.20
Cottonwood County,Minnesota,12167.00,5376.00,648.91,8.91,639.99,19.00,8.40
Crow Wing County,Minnesota,55099.00,33483.00,1156.56,160.00,996.57,55.30,33.60
Dakota County,Minnesota,355904.00,133750.00,586.33,16.75,569.58,624.90,234.80
Dodge County,Minnesota,17731.00,6642.00,439.63,0.12,439.50,40.30,15.10
Douglas County,Minnesota,32821.00,16694.00,719.94,85.62,634.32,51.70,26.30
Faribault County,Minnesota,16181.00,7247.00,721.61,7.98,713.63,22.70,10.20
Fillmore County,Minnesota,21122.00,8908.00,862.15,0.90,861.25,24.50,10.30
Freeborn County,Minnesota,32584.00,13996.00,722.63,14.99,707.64,46.00,19.80
Goodhue County,Minnesota,44127.00,17879.00,780.44,22.17,758.27,58.20,23.60
Grant County,Minnesota,6289.00,3098.00,575.18,28.77,546.41,11.50,5.70
